problem2,print,input,list,tuple,date,if,function,for,string,while,set,math
Write a Python function that takes a sequence of numbers and determines whether all the numbers are different from each other.,o,,,,,o,o,,,,,
"Write a Python program to create all possible strings by using 'a', 'e', 'i', 'o', 'u'. Use the characters exactly once",o,,o,,,,,,,,,
Write a Python program to remove and print every third number from a list of numbers until the list becomes empty.,o,,o,o,,,,,,o,,o
Write a Python program to find unique triplets whose three elements gives the sum of zero from an array of n integers.,o,,o,o,,o,o,o,o,o,,o
Write a Python program to create the combinations of 3 digit combo. ,o,,o,o,,,,,,,,
"Write a Python program to print a long text, convert the string to a list and print all the words and their frequencies",o,,o,,,,,o,o,,,
Write a Python program to count the number of each character of a given text of a text file,o,,,,,,,o,,,,
Write a Python program to get the top stories from Google news.,o,,,,,,,o,,,,
Write a Python program to get a list of locally installed Python modules.,o,,,,,,,o,,,,
Write a Python program to display some information about the OS where the script is running. ,o,,o,,,o,,o,,,,
Write a Python program to check the sum of three elements (each from an array) from three arrays is equal to a target value. Print all those three-element combinations.,o,,o,o,,o,o,o,,,,
Write a Python program to create all possible permutations from a given collection of distinct numbers.,o,,o,,,,o,o,,,,
Write a Python program to get all possible two digit letter combinations from a digit (1 to 9) string.,o,,o,,,o,o,o,o,,,
Write a Python program to add two positive integers without using the '+' operator,o,,,,,,o,,,o,,o
"Write a Python program to check the priority of the four operators (+, -, *, /). ",o,,,,,,o,,o,,,o
Write a Python program to get the third side of right angled triangle from two given sides.,o,,,,,o,o,,o,,,o
Write a Python program to get all strobogrammatic numbers that are of length n,o,,o,,,o,o,o,o,,,o
Write a Python program to find the median among three given numbers,o,o,,,,o,,,,,,o
Write a Python program to find the value of n where n degrees of number 2 are written sequentially in a line without spaces.,o,,,,,o,o,,,o,,o
Write a Python program to find the number of zeros at the end of a factorial of a given positive number.,o,,,,,,o,,,o,,o
"Write a Python program to find the number of notes (Sample of notes: 10, 20, 50, 100, 200 and 500 ) against a given amount.",o,,o,,,o,o,o,,,,o
"Write a Python program to create a sequence where the first four members of the sequence are equal to one, and each successive term of the sequence is equal to the sum of the four previous ones. Find the Nth member of the sequence. ",o,,,,,o,o,,,,,o
Write a Python program that accept a positive number and subtract from this number the sum of its digits and so on. Continues this operation until the number is positive,o,,o,,,,o,o,o,o,,
 Write a Python program to find the number of divisors of a given integer is even or odd. ,o,,o,,,o,o,,,,,o
Write a Python program to find the digits which are absent in a given mobile number,o,,o,,,,o,o,,,o,
Write a Python program to compute the summation of the absolute difference of all distinct pairs in a given array (non-decreasing order). ,o,,o,,,,o,,,o,,o
Write a Python program to find the type of the progression (arithmetic progression/geometric progression) and the next successive member of a given three successive members of a sequence. ,o,,o,,,o,o,,o,,,o
"Write a Python program to print the length of the series and the series from the given 3rd term, 3rd last term and the sum of a series.",o,o,,,,o,,o,,,,o
Write a Python program to find common divisors between two numbers in a given pair. ,o,,,,,o,o,,,o,,o
"Write a Python program to reverse the digits of a given number and add it to the original, If the sum is not a palindrome repeat this procedure.",o,,o,,,o,o,,o,o,,o
Write a Python program to count the number of carry operations for each of a set of addition problems.,o,,,,,o,o,o,o,,,o
Write a python program to find heights of the top three building in descending order from eight given buildings.,o,,o,,,,,o,,,,o
Write a Python program to compute the digit number of sum of two given integers.,o,o,,,,,,,o,,,o
"Write a Python program to check whether three given lengths (integers) of three sides form a right triangle. Print ""Yes"" if the given sides form a right triangle otherwise print ""No"".",o,,o,,,o,,,,,,o
Write a Python program which solve the equation:,o,o,,,,o,,,,,,o
"Write a Python program to compute the amount of the debt in n months. The borrowing amount is $100,000 and the loan adds 5% interest of the debt and rounds it to the nearest 1,000 above month by month. ",o,o,,,,o,o,,o,,,o
"Write a Python program which reads an integer n and find the number of combinations of a,b,c and d (0 <= a,b,c,d <= 9) where (a + b + c + d) will be equal to n.",o,o,,,,,,o,,,,o
Write a Python program to print the number of prime numbers which are less than or equal to a given integer,o,o,o,,,o,,o,,,,o
"Write a program to compute the radius and the central coordinate (x, y) of a circle which is constructed by three given points on the plane surface.",o,o,,,,,,,,,,o
"Write a Python program to check whether a point (x,y) is in a triangle or not. There is a triangle formed by three points.",o,o,,,,o,,,,,,o
"Write a Python program to compute and print sum of two given integers (more than or equal to zero). If given integers or the sum have more than 80 digits, print ""overflow""",o,o,,,,o,,,,,,o
 Write a Python program that accepts six numbers as input and sorts them in descending order. ,o,o,o,,,,,,,,,o
"Write a Python program to test whether two lines PQ and RS are parallel. The four points are P(x1, y1), Q(x2, y2), R(x3, y3), S(x4, y4).",o,o,,,,o,,,,,,o
"Write a Python program to find the maximum sum of a contiguous subsequence from a given sequence of numbers a1, a2, a3, ... an. A subsequence of one element is also a continuous subsequence",o,o,o,,,o,,o,,o,,o
